00:30:29 [SocketManager] Server started at port [55980]
00:30:31 [Connection] connect() failed with error: 10061
00:30:34 [Connection] connect() failed with error: 10061
00:30:46 [Connection] connect() failed with error: 10061
00:30:49 [Connection] connect() failed with error: 10061
00:30:56 [Connection] connect() failed with error: 10061
00:30:58 [Connection] connect() failed with error: 10061
00:31:06 [Connection] connect() failed with error: 10061
00:31:08 [Connection] connect() failed with error: 10061
00:31:16 [Connection] connect() failed with error: 10061
00:31:19 [Connection] connect() failed with error: 10061
00:31:26 [Connection] connect() failed with error: 10061
00:31:28 [Connection] connect() failed with error: 10061
00:31:36 [Connection] connect() failed with error: 10061
00:31:38 [Connection] connect() failed with error: 10061
00:31:46 [Connection] connect() failed with error: 10061
00:31:48 [Connection] connect() failed with error: 10061
00:31:56 [Connection] connect() failed with error: 10061
00:31:58 [Connection] connect() failed with error: 10061
00:32:06 [Connection] connect() failed with error: 10061
00:32:08 [Connection] connect() failed with error: 10061
00:32:16 [Connection] connect() failed with error: 10061
00:32:19 [Connection] connect() failed with error: 10061
00:32:26 [Connection] connect() failed with error: 10061
00:32:29 [Connection] connect() failed with error: 10061
00:32:36 [Connection] connect() failed with error: 10061
00:32:39 [Connection] connect() failed with error: 10061
00:32:46 [Connection] connect() failed with error: 10061
00:32:48 [Connection] connect() failed with error: 10061
00:32:56 [Connection] connect() failed with error: 10061
00:32:58 [Connection] connect() failed with error: 10061
00:33:06 [Connection] connect() failed with error: 10061
00:33:08 [Connection] connect() failed with error: 10061
00:33:16 [Connection] connect() failed with error: 10061
00:33:18 [Connection] connect() failed with error: 10061
00:33:26 [Connection] connect() failed with error: 10061
00:33:28 [Connection] connect() failed with error: 10061
00:33:36 [Connection] connect() failed with error: 10061
00:33:38 [Connection] connect() failed with error: 10061
00:33:46 [Connection] connect() failed with error: 10061
00:33:48 [Connection] connect() failed with error: 10061
00:33:56 [Connection] connect() failed with error: 10061
00:33:58 [Connection] connect() failed with error: 10061
00:34:06 [Connection] connect() failed with error: 10061
00:34:08 [Connection] connect() failed with error: 10061
00:34:16 [Connection] connect() failed with error: 10061
00:34:19 [Connection] connect() failed with error: 10061
00:34:26 [Connection] connect() failed with error: 10061
00:34:29 [Connection] connect() failed with error: 10061
00:34:36 [Connection] connect() failed with error: 10061
00:34:39 [Connection] connect() failed with error: 10061
00:34:46 [Connection] connect() failed with error: 10061
00:34:48 [Connection] connect() failed with error: 10061
00:34:56 [Connection] connect() failed with error: 10061
00:34:59 [Connection] connect() failed with error: 10061
00:35:06 [Connection] connect() failed with error: 10061
00:35:08 [Connection] connect() failed with error: 10061
00:35:16 [Connection] connect() failed with error: 10061
00:35:18 [Connection] connect() failed with error: 10061
00:35:26 [Connection] connect() failed with error: 10061
00:35:28 [Connection] connect() failed with error: 10061
00:35:36 [Connection] connect() failed with error: 10061
00:35:39 [Connection] connect() failed with error: 10061
00:35:46 [Connection] connect() failed with error: 10061
00:35:49 [Connection] connect() failed with error: 10061
00:35:56 [Connection] connect() failed with error: 10061
00:35:59 [Connection] connect() failed with error: 10061
00:36:06 [Connection] connect() failed with error: 10061
00:36:08 [Connection] connect() failed with error: 10061
00:36:16 [Connection] connect() failed with error: 10061
00:36:19 [Connection] connect() failed with error: 10061
00:36:26 [Connection] connect() failed with error: 10061
00:36:29 [Connection] connect() failed with error: 10061
00:36:36 [Connection] connect() failed with error: 10061
00:36:38 [Connection] connect() failed with error: 10061
00:36:46 [Connection] connect() failed with error: 10061
00:36:49 [Connection] connect() failed with error: 10061
00:36:56 [Connection] connect() failed with error: 10061
00:36:58 [Connection] connect() failed with error: 10061
00:37:06 [Connection] connect() failed with error: 10061
00:37:09 [Connection] connect() failed with error: 10061
00:37:16 [Connection] connect() failed with error: 10061
00:37:18 [Connection] connect() failed with error: 10061
00:37:26 [Connection] connect() failed with error: 10061
00:37:29 [Connection] connect() failed with error: 10061
00:37:36 [Connection] connect() failed with error: 10061
00:37:39 [Connection] connect() failed with error: 10061
00:37:46 [Connection] connect() failed with error: 10061
00:37:48 [Connection] connect() failed with error: 10061
00:37:56 [Connection] connect() failed with error: 10061
00:37:59 [Connection] connect() failed with error: 10061
00:38:06 [Connection] connect() failed with error: 10061
00:38:09 [Connection] connect() failed with error: 10061
00:38:16 [Connection] connect() failed with error: 10061
00:38:19 [Connection] connect() failed with error: 10061
00:38:26 [Connection] connect() failed with error: 10061
00:38:28 [Connection] connect() failed with error: 10061
00:38:36 [Connection] connect() failed with error: 10061
00:38:39 [Connection] connect() failed with error: 10061
00:38:46 [Connection] connect() failed with error: 10061
00:38:49 [Connection] connect() failed with error: 10061
00:38:56 [Connection] connect() failed with error: 10061
00:38:59 [Connection] connect() failed with error: 10061
00:39:06 [Connection] connect() failed with error: 10061
00:39:09 [Connection] connect() failed with error: 10061
00:39:16 [Connection] connect() failed with error: 10061
00:39:19 [Connection] connect() failed with error: 10061
00:39:27 [Connection] connect() failed with error: 10061
00:39:29 [Connection] connect() failed with error: 10061
00:39:36 [Connection] connect() failed with error: 10061
00:39:39 [Connection] connect() failed with error: 10061
00:39:46 [Connection] connect() failed with error: 10061
00:39:49 [Connection] connect() failed with error: 10061
00:39:56 [Connection] connect() failed with error: 10061
00:39:59 [Connection] connect() failed with error: 10061
00:40:06 [Connection] connect() failed with error: 10061
00:40:09 [Connection] connect() failed with error: 10061
00:40:16 [Connection] connect() failed with error: 10061
00:40:19 [Connection] connect() failed with error: 10061
00:40:26 [Connection] connect() failed with error: 10061
00:40:29 [Connection] connect() failed with error: 10061
00:40:37 [Connection] connect() failed with error: 10061
00:40:39 [Connection] connect() failed with error: 10061
00:40:47 [Connection] connect() failed with error: 10061
00:40:49 [Connection] connect() failed with error: 10061
00:40:56 [Connection] connect() failed with error: 10061
00:40:59 [Connection] connect() failed with error: 10061
00:41:06 [Connection] connect() failed with error: 10061
00:41:09 [Connection] connect() failed with error: 10061
00:41:17 [Connection] connect() failed with error: 10061
00:41:19 [Connection] connect() failed with error: 10061
00:41:26 [Connection] connect() failed with error: 10061
00:41:29 [Connection] connect() failed with error: 10061
00:41:37 [Connection] connect() failed with error: 10061
00:41:39 [Connection] connect() failed with error: 10061
00:41:47 [Connection] connect() failed with error: 10061
00:41:49 [Connection] connect() failed with error: 10061
00:41:57 [Connection] connect() failed with error: 10061
00:41:59 [Connection] connect() failed with error: 10061
00:42:07 [Connection] connect() failed with error: 10061
00:42:09 [Connection] connect() failed with error: 10061
00:42:17 [Connection] connect() failed with error: 10061
00:42:19 [Connection] connect() failed with error: 10061
00:42:27 [Connection] connect() failed with error: 10061
00:42:29 [Connection] connect() failed with error: 10061
00:42:37 [Connection] connect() failed with error: 10061
00:42:39 [Connection] connect() failed with error: 10061
00:42:46 [Connection] connect() failed with error: 10061
00:42:49 [Connection] connect() failed with error: 10061
00:42:57 [Connection] connect() failed with error: 10061
00:42:59 [Connection] connect() failed with error: 10061
00:43:07 [Connection] connect() failed with error: 10061
00:43:09 [Connection] connect() failed with error: 10061
00:43:17 [Connection] connect() failed with error: 10061
00:43:19 [Connection] connect() failed with error: 10061
00:43:27 [Connection] connect() failed with error: 10061
00:43:29 [Connection] connect() failed with error: 10061
00:43:37 [Connection] connect() failed with error: 10061
00:43:39 [Connection] connect() failed with error: 10061
00:43:47 [Connection] connect() failed with error: 10061
00:43:49 [Connection] connect() failed with error: 10061
00:43:57 [Connection] connect() failed with error: 10061
00:43:59 [Connection] connect() failed with error: 10061
00:44:07 [Connection] connect() failed with error: 10061
00:44:09 [Connection] connect() failed with error: 10061
00:44:17 [Connection] connect() failed with error: 10061
