20:55:07 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:55:27 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
20:55:55 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:01:09 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:01:31 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 5, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:10:55 [CommandMake][1111][LouLx3] - (Section: 7, Type: 45, Level: 15, Skill: 1, Luck: 7, Option: 63, Exc: 0, Set: 0,count:1)
21:11:18 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 7, Option: 63, Exc: 0, Set: 0,count:1)
21:12:17 [CommandMake][1111][LouLx3] - (Section: 7, Type: 49, Level: 13, Skill: 0, Luck: 0, Option: 37, Exc: 0, Set: 0,count:1)
21:13:26 [CommandMake][1111][LouLx3] - (Section: 7, Type: 49, Level: 13, Skill: 0, Luck: 1, Option: 37, Exc: 0, Set: 0,count:1)
21:13:50 [CommandMake][1111][LouLx3] - (Section: 7, Type: 49, Level: 13, Skill: 0, Luck: 1, Option: 37, Exc: 0, Set: 0,count:1)
21:15:05 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:16:01 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:16:09 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:16:31 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
21:17:17 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 0, Exc: 0, Set: 0,count:1)
21:17:39 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 0, Set: 0,count:1)
21:17:55 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
21:19:46 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 0, Skill: 1, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
21:21:16 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 0, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
22:50:52 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
23:01:01 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
23:01:21 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
23:05:58 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 0, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
23:06:14 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
23:06:55 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 0, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
23:07:03 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 0, Option: 0, Exc: 0, Set: 0,count:1)
23:33:26 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 0, Exc: 0, Set: 0,count:1)
23:42:13 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 0, Set: 0,count:1)
23:50:41 [CommandMake][1111][LouLx3] - (Section: 0, Type: 0, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
23:58:07 [CommandMake][1111][LouLx3] - (Section: 7, Type: 45, Level: 15, Skill: 1, Luck: 1, Option: 7, Exc: 63, Set: 0,count:1)
23:59:44 [CommandMake][1111][LouLx3] - (Section: 7, Type: 45, Level: 15, Skill: 1, Luck: 7, Option: 63, Exc: 0, Set: 0,count:1)
