01:04:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:05:35 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:06:46 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:10:41 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:11:53 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:12:54 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:14:05 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:15:08 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:16:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:17:27 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:18:37 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:19:39 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:20:51 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:21:46 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:23:02 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:24:10 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:25:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:27:15 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:28:35 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:29:18 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:30:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:32:05 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:32:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
01:34:08 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
