08:38:43 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
08:40:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
08:41:09 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
08:42:39 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
08:44:00 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:23:48 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:24:40 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:26:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:27:01 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:42:09 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:45:20 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:46:49 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:47:42 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:49:11 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:50:02 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:51:31 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:52:21 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:53:50 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:54:46 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:56:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:00:51 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:02:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:03:07 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:04:42 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:05:22 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:07:02 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:10:07 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:11:42 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:13:32 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:15:02 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:16:45 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:18:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:19:40 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:21:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
12:23:50 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
