/cleareventinv | xóa túi event
/clearinvmuun | xóa túi muun
/clearinv | Xóa túi đồ
/clearextinv | xóa túi đồ mở rộng

/post <text> | Chat thế giới
/Buy <text> | mua đồ
/Sell <text> | bán đồ
/pkclear | tẩy PK
/money <number> | thêm zen
/change | chuyển chức
/reset | reset thường
/mreset | reset master 3
/ereset | reset enchance
/debuff | xóa debuff
/fireworks | bắn pháo hoa
/setruud <player> <number> | thêm ruud
/readd | đặt lại số liệu thống kê
/startevent <EventID> <WaitTime> | bắt đầu event

/make <group> <id> <lvl> <dur> <skill> <luck> <opt> <exe> <set> <harmony> <extl> <socketcount> <socketbonus> <exp> <count> | Lệnh tạo item

/spot <Map> <Class> <Range> <BeginPosX> <BeginPosY> <EndPosX> <EndPosY> <Direction> <Quantity> <Element> | tạo bãi quái
